"","STNAME","CTYNAME","RACE","MR"
"412","AR","Chicot County","NHPI_A",3
"413","AR","Clark County","A_AIC",188
"414","AR","Clark County","A_A",146
"415","AR","Clark County","NHPI_AIC",32
"416","AR","Clark County","NHPI_A",13
"417","AR","Clay County","A_AIC",31
"418","AR","Clay County","A_A",14
"419","AR","Clay County","NHPI_AIC",4
"420","AR","Clay County","NHPI_A",0
"421","AR","Cleburne County","A_AIC",56
"422","AR","Cleburne County","A_A",35
"423","AR","Cleburne County","NHPI_AIC",14
"424","AR","Cleburne County","NHPI_A",6
"425","AR","Cleveland County","A_AIC",31
"426","AR","Cleveland County","A_A",12
"427","AR","Cleveland County","NHPI_AIC",10
"428","AR","Cleveland County","NHPI_A",3
"429","AR","Columbia County","A_AIC",121
"430","AR","Columbia County","A_A",89
"431","AR","Columbia County","NHPI_AIC",14
"432","AR","Columbia County","NHPI_A",7
"433","AR","Conway County","A_AIC",72
"434","AR","Conway County","A_A",48
"435","AR","Conway County","NHPI_AIC",12
"436","AR","Conway County","NHPI_A",9
"437","AR","Craighead County","A_AIC",648
"438","AR","Craighead County","A_A",507
"439","AR","Craighead County","NHPI_AIC",52
"440","AR","Craighead County","NHPI_A",19
"441","AR","Crawford County","A_AIC",781
"442","AR","Crawford County","A_A",660
"443","AR","Crawford County","NHPI_AIC",34
"444","AR","Crawford County","NHPI_A",17
"445","AR","Crittenden County","A_AIC",290
"446","AR","Crittenden County","A_A",240
"447","AR","Crittenden County","NHPI_AIC",36
"448","AR","Crittenden County","NHPI_A",11
"449","AR","Cross County","A_AIC",89
"450","AR","Cross County","A_A",62
"451","AR","Cross County","NHPI_AIC",4
"452","AR","Cross County","NHPI_A",1
"453","AR","Dallas County","A_AIC",31
"454","AR","Dallas County","A_A",24
"455","AR","Dallas County","NHPI_AIC",5
"456","AR","Dallas County","NHPI_A",0
"457","AR","Desha County","A_AIC",70
"458","AR","Desha County","A_A",46
"459","AR","Desha County","NHPI_AIC",8
"460","AR","Desha County","NHPI_A",4
"461","AR","Drew County","A_AIC",94
"462","AR","Drew County","A_A",81
"463","AR","Drew County","NHPI_AIC",15
"464","AR","Drew County","NHPI_A",3
"465","AR","Faulkner County","A_AIC",797
"466","AR","Faulkner County","A_A",638
"467","AR","Faulkner County","NHPI_AIC",69
"468","AR","Faulkner County","NHPI_A",34
"469","AR","Franklin County","A_AIC",65
"470","AR","Franklin County","A_A",47
"471","AR","Franklin County","NHPI_AIC",16
"472","AR","Franklin County","NHPI_A",11
"473","AR","Fulton County","A_AIC",34
"474","AR","Fulton County","A_A",25
"475","AR","Fulton County","NHPI_AIC",0
"476","AR","Fulton County","NHPI_A",0
"477","AR","Garland County","A_AIC",586
"478","AR","Garland County","A_A",448
"479","AR","Garland County","NHPI_AIC",56
"480","AR","Garland County","NHPI_A",28
"481","AR","Grant County","A_AIC",36
"482","AR","Grant County","A_A",22
"483","AR","Grant County","NHPI_AIC",12
"484","AR","Grant County","NHPI_A",5
"485","AR","Greene County","A_AIC",96
"486","AR","Greene County","A_A",65
"487","AR","Greene County","NHPI_AIC",20
"488","AR","Greene County","NHPI_A",7
"489","AR","Hempstead County","A_AIC",83
"490","AR","Hempstead County","A_A",62
"491","AR","Hempstead County","NHPI_AIC",18
"492","AR","Hempstead County","NHPI_A",8
"493","AR","Hot Spring County","A_AIC",101
"494","AR","Hot Spring County","A_A",67
"495","AR","Hot Spring County","NHPI_AIC",19
"496","AR","Hot Spring County","NHPI_A",13
"497","AR","Howard County","A_AIC",81
"498","AR","Howard County","A_A",71
"499","AR","Howard County","NHPI_AIC",4
"500","AR","Howard County","NHPI_A",2
"501","AR","Independence County","A_AIC",274
"502","AR","Independence County","A_A",227
"503","AR","Independence County","NHPI_AIC",22
"504","AR","Independence County","NHPI_A",12
"505","AR","Izard County","A_AIC",23
"506","AR","Izard County","A_A",15
"507","AR","Izard County","NHPI_AIC",10
"508","AR","Izard County","NHPI_A",3
"509","AR","Jackson County","A_AIC",55
"510","AR","Jackson County","A_A",33
"511","AR","Jackson County","NHPI_AIC",6
"512","AR","Jackson County","NHPI_A",1
"513","AR","Jefferson County","A_AIC",681
"514","AR","Jefferson County","A_A",585
"515","AR","Jefferson County","NHPI_AIC",67
"516","AR","Jefferson County","NHPI_A",30
"517","AR","Johnson County","A_AIC",108
"518","AR","Johnson County","A_A",86
"519","AR","Johnson County","NHPI_AIC",12
"520","AR","Johnson County","NHPI_A",2
"521","AR","Lafayette County","A_AIC",29
"522","AR","Lafayette County","A_A",19
"523","AR","Lafayette County","NHPI_AIC",5
"524","AR","Lafayette County","NHPI_A",1
"525","AR","Lawrence County","A_AIC",33
"526","AR","Lawrence County","A_A",10
"527","AR","Lawrence County","NHPI_AIC",12
"528","AR","Lawrence County","NHPI_A",2
"529","AR","Lee County","A_AIC",49
"530","AR","Lee County","A_A",39
"531","AR","Lee County","NHPI_AIC",10
"532","AR","Lee County","NHPI_A",3
"533","AR","Lincoln County","A_AIC",23
"534","AR","Lincoln County","A_A",11
"535","AR","Lincoln County","NHPI_AIC",2
"536","AR","Lincoln County","NHPI_A",1
"537","AR","Little River County","A_AIC",43
"538","AR","Little River County","A_A",27
"539","AR","Little River County","NHPI_AIC",6
"540","AR","Little River County","NHPI_A",4
"541","AR","Logan County","A_AIC",63
"542","AR","Logan County","A_A",33
"543","AR","Logan County","NHPI_AIC",7
"544","AR","Logan County","NHPI_A",5
"545","AR","Lonoke County","A_AIC",369
"546","AR","Lonoke County","A_A",223
"547","AR","Lonoke County","NHPI_AIC",46
"548","AR","Lonoke County","NHPI_A",20
"549","AR","Madison County","A_AIC",21
"550","AR","Madison County","A_A",9
"551","AR","Madison County","NHPI_AIC",15
"552","AR","Madison County","NHPI_A",13
"553","AR","Marion County","A_AIC",54
"554","AR","Marion County","A_A",32
"555","AR","Marion County","NHPI_AIC",19
"556","AR","Marion County","NHPI_A",8
"557","AR","Miller County","A_AIC",200
"558","AR","Miller County","A_A",152
"559","AR","Miller County","NHPI_AIC",17
"560","AR","Miller County","NHPI_A",8
"561","AR","Mississippi County","A_AIC",296
"562","AR","Mississippi County","A_A",203
"563","AR","Mississippi County","NHPI_AIC",40
"564","AR","Mississippi County","NHPI_A",15
"565","AR","Monroe County","A_AIC",28
"566","AR","Monroe County","A_A",13
"567","AR","Monroe County","NHPI_AIC",14
"568","AR","Monroe County","NHPI_A",4
"569","AR","Montgomery County","A_AIC",44
"570","AR","Montgomery County","A_A",34
"571","AR","Montgomery County","NHPI_AIC",1
"572","AR","Montgomery County","NHPI_A",1
"573","AR","Nevada County","A_AIC",15
"574","AR","Nevada County","A_A",7
"575","AR","Nevada County","NHPI_AIC",1
"576","AR","Nevada County","NHPI_A",0
"577","AR","Newton County","A_AIC",26
"578","AR","Newton County","A_A",14
"579","AR","Newton County","NHPI_AIC",4
"580","AR","Newton County","NHPI_A",1
"581","AR","Ouachita County","A_AIC",102
"582","AR","Ouachita County","A_A",72
"583","AR","Ouachita County","NHPI_AIC",14
"584","AR","Ouachita County","NHPI_A",8
"585","AR","Perry County","A_AIC",25
"586","AR","Perry County","A_A",15
"587","AR","Perry County","NHPI_AIC",3
"588","AR","Perry County","NHPI_A",2
"589","AR","Phillips County","A_AIC",117
"590","AR","Phillips County","A_A",90
"591","AR","Phillips County","NHPI_AIC",19
"592","AR","Phillips County","NHPI_A",3
"593","AR","Pike County","A_AIC",28
"594","AR","Pike County","A_A",18
"595","AR","Pike County","NHPI_AIC",5
"596","AR","Pike County","NHPI_A",2
"597","AR","Poinsett County","A_AIC",64
"598","AR","Poinsett County","A_A",41
"599","AR","Poinsett County","NHPI_AIC",10
"600","AR","Poinsett County","NHPI_A",5
"601","AR","Polk County","A_AIC",57
"602","AR","Polk County","A_A",43
"603","AR","Polk County","NHPI_AIC",17
"604","AR","Polk County","NHPI_A",13
"605","AR","Pope County","A_AIC",459
"606","AR","Pope County","A_A",376
"607","AR","Pope County","NHPI_AIC",31
"608","AR","Pope County","NHPI_A",14
"609","AR","Prairie County","A_AIC",21
"610","AR","Prairie County","A_A",17
"611","AR","Prairie County","NHPI_AIC",1
"612","AR","Prairie County","NHPI_A",0
"613","AR","Pulaski County","A_AIC",5615
"614","AR","Pulaski County","A_A",4585
"615","AR","Pulaski County","NHPI_AIC",371
"616","AR","Pulaski County","NHPI_A",161
"617","AR","Randolph County","A_AIC",33
"618","AR","Randolph County","A_A",14
"619","AR","Randolph County","NHPI_AIC",15
"620","AR","Randolph County","NHPI_A",3
"621","AR","Saline County","A_AIC",641
"622","AR","Saline County","A_A",481
"623","AR","Saline County","NHPI_AIC",55
"624","AR","Saline County","NHPI_A",28
"625","AR","Scott County","A_AIC",117
"626","AR","Scott County","A_A",109
"627","AR","Scott County","NHPI_AIC",5
"628","AR","Scott County","NHPI_A",1
"629","AR","Searcy County","A_AIC",23
"630","AR","Searcy County","A_A",13
"631","AR","Searcy County","NHPI_AIC",3
"632","AR","Searcy County","NHPI_A",1
"633","AR","Sebastian County","A_AIC",4537
"634","AR","Sebastian County","A_A",4142
"635","AR","Sebastian County","NHPI_AIC",156
"636","AR","Sebastian County","NHPI_A",84
"637","AR","Sevier County","A_AIC",29
"638","AR","Sevier County","A_A",21
"639","AR","Sevier County","NHPI_AIC",15
